Format,Mail,Date
RDF XML,5,2024-04-26
SERVICE,237,2024-04-26
SPARQL,70,2024-04-26
Unbekannt,4,2024-04-26
WMS,235,2024-04-26
WMTS,214,2024-04-26
ZIP,70,2024-04-26
cloud optimized geotiff,1,2024-04-26
Fehlt,65,2024-04-27
API,97,2024-04-27
GPKG,3,2024-04-27
HTML,184,2024-04-27
RDF XML,5,2024-04-27
SERVICE,238,2024-04-27
SPARQL,70,2024-04-27
Unbekannt,4,2024-04-27
WMS,236,2024-04-27
WMTS,215,2024-04-27
ZIP,76,2024-04-27
cloud optimized geotiff,1,2024-04-27
Fehlt,65,2024-04-28
API,97,2024-04-28
GPKG,3,2024-04-28
HTML,184,2024-04-28
RDF XML,5,2024-04-28
SERVICE,238,2024-04-28
SPARQL,70,2024-04-28
Unbekannt,4,2024-04-28
WMS,236,2024-04-28
WMTS,215,2024-04-28
ZIP,76,2024-04-28
cloud optimized geotiff,1,2024-04-28
Fehlt,65,2024-04-29
API,97,2024-04-29
GPKG,3,2024-04-29
HTML,184,2024-04-29
RDF XML,5,2024-04-29
SERVICE,238,2024-04-29
SPARQL,70,2024-04-29
Unbekannt,4,2024-04-29
WMS,236,2024-04-29
WMTS,215,2024-04-29
ZIP,76,2024-04-29
cloud optimized geotiff,1,2024-04-29
Fehlt,65,2024-04-30
API,97,2024-04-30
GPKG,3,2024-04-30
HTML,184,2024-04-30
RDF XML,5,2024-04-30
SERVICE,238,2024-04-30
SPARQL,70,2024-04-30
Unbekannt,4,2024-04-30
WMS,236,2024-04-30
WMTS,215,2024-04-30
ZIP,76,2024-04-30
cloud optimized geotiff,1,2024-04-30
Fehlt,65,2024-05-01
API,97,2024-05-01
GPKG,3,2024-05-01
HTML,184,2024-05-01
RDF XML,5,2024-05-01
SERVICE,238,2024-05-01
SPARQL,70,2024-05-01
Unbekannt,4,2024-05-01
WMS,236,2024-05-01
WMTS,215,2024-05-01
ZIP,76,2024-05-01
cloud optimized geotiff,1,2024-05-01
Fehlt,65,2024-05-02
API,97,2024-05-02
GPKG,3,2024-05-02
HTML,184,2024-05-02
RDF XML,5,2024-05-02
SERVICE,238,2024-05-02
SPARQL,70,2024-05-02
Unbekannt,4,2024-05-02
WMS,236,2024-05-02
WMTS,215,2024-05-02
ZIP,76,2024-05-02
cloud optimized geotiff,1,2024-05-02
Fehlt,65,2024-05-03
API,97,2024-05-03
GPKG,3,2024-05-03
HTML,184,2024-05-03
RDF XML,5,2024-05-03
SERVICE,238,2024-05-03
SPARQL,70,2024-05-03
Unbekannt,4,2024-05-03
WMS,236,2024-05-03
WMTS,215,2024-05-03
ZIP,76,2024-05-03
cloud optimized geotiff,1,2024-05-03
Fehlt,65,2024-05-04
API,97,2024-05-04
GPKG,3,2024-05-04
HTML,184,2024-05-04
RDF XML,5,2024-05-04
SERVICE,238,2024-05-04
SPARQL,70,2024-05-04
Unbekannt,4,2024-05-04
WMS,236,2024-05-04
WMTS,215,2024-05-04
ZIP,76,2024-05-04
cloud optimized geotiff,1,2024-05-04
Fehlt,65,2024-05-05
API,97,2024-05-05
GPKG,3,2024-05-05
HTML,184,2024-05-05
RDF XML,5,2024-05-05
SERVICE,238,2024-05-05
SPARQL,70,2024-05-05
Unbekannt,4,2024-05-05
WMS,236,2024-05-05
WMTS,215,2024-05-05
ZIP,76,2024-05-05
cloud optimized geotiff,1,2024-05-05
Fehlt,65,2024-05-06
API,97,2024-05-06
GPKG,3,2024-05-06
HTML,184,2024-05-06
RDF XML,5,2024-05-06
SERVICE,238,2024-05-06
SPARQL,70,2024-05-06
Unbekannt,4,2024-05-06
WMS,236,2024-05-06
WMTS,215,2024-05-06
ZIP,76,2024-05-06
cloud optimized geotiff,1,2024-05-06
Fehlt,65,2024-05-07
API,97,2024-05-07
GPKG,3,2024-05-07
HTML,184,2024-05-07
RDF XML,5,2024-05-07
SERVICE,238,2024-05-07
SPARQL,70,2024-05-07
Unbekannt,4,2024-05-07
WMS,236,2024-05-07
WMTS,215,2024-05-07
ZIP,76,2024-05-07
cloud optimized geotiff,1,2024-05-07
Fehlt,65,2024-05-08
API,97,2024-05-08
GPKG,3,2024-05-08
HTML,184,2024-05-08
RDF XML,5,2024-05-08
SERVICE,238,2024-05-08
SPARQL,70,2024-05-08
Unbekannt,4,2024-05-08
WMS,236,2024-05-08
WMTS,215,2024-05-08
ZIP,76,2024-05-08
cloud optimized geotiff,1,2024-05-08
Fehlt,65,2024-05-09
API,97,2024-05-09
GPKG,3,2024-05-09
HTML,184,2024-05-09
RDF XML,5,2024-05-09
SERVICE,238,2024-05-09
SPARQL,70,2024-05-09
Unbekannt,4,2024-05-09
WMS,236,2024-05-09
WMTS,215,2024-05-09
ZIP,76,2024-05-09
cloud optimized geotiff,1,2024-05-09
Fehlt,65,2024-05-10
API,97,2024-05-10
GPKG,3,2024-05-10
HTML,184,2024-05-10
RDF XML,5,2024-05-10
SERVICE,238,2024-05-10
SPARQL,70,2024-05-10
Unbekannt,4,2024-05-10
WMS,236,2024-05-10
WMTS,215,2024-05-10
ZIP,76,2024-05-10
cloud optimized geotiff,1,2024-05-10
Fehlt,65,2024-05-11
API,97,2024-05-11
GPKG,3,2024-05-11
HTML,184,2024-05-11
RDF XML,5,2024-05-11
SERVICE,238,2024-05-11
SPARQL,70,2024-05-11
Unbekannt,4,2024-05-11
WMS,236,2024-05-11
WMTS,215,2024-05-11
ZIP,76,2024-05-11
cloud optimized geotiff,1,2024-05-11
Fehlt,65,2024-05-12
API,97,2024-05-12
GPKG,3,2024-05-12
HTML,184,2024-05-12
RDF XML,5,2024-05-12
SERVICE,238,2024-05-12
SPARQL,70,2024-05-12
Unbekannt,4,2024-05-12
WMS,236,2024-05-12
WMTS,215,2024-05-12
ZIP,76,2024-05-12
cloud optimized geotiff,1,2024-05-12
Fehlt,65,2024-05-13
API,97,2024-05-13
GPKG,3,2024-05-13
HTML,184,2024-05-13
RDF XML,5,2024-05-13
SERVICE,238,2024-05-13
SPARQL,70,2024-05-13
Unbekannt,4,2024-05-13
WMS,236,2024-05-13
WMTS,215,2024-05-13
ZIP,76,2024-05-13
cloud optimized geotiff,1,2024-05-13
Fehlt,65,2024-05-14
API,97,2024-05-14
GPKG,3,2024-05-14
HTML,184,2024-05-14
RDF XML,5,2024-05-14
SERVICE,238,2024-05-14
SPARQL,70,2024-05-14
Unbekannt,4,2024-05-14
WMS,236,2024-05-14
WMTS,215,2024-05-14
ZIP,76,2024-05-14
cloud optimized geotiff,1,2024-05-14
Fehlt,65,2024-05-15
API,97,2024-05-15
GPKG,3,2024-05-15
HTML,184,2024-05-15
RDF XML,5,2024-05-15
SERVICE,238,2024-05-15
SPARQL,70,2024-05-15
Unbekannt,4,2024-05-15
WMS,236,2024-05-15
WMTS,215,2024-05-15
ZIP,76,2024-05-15
cloud optimized geotiff,1,2024-05-15
Fehlt,65,2024-05-16
API,97,2024-05-16
GPKG,3,2024-05-16
HTML,184,2024-05-16
RDF XML,5,2024-05-16
SERVICE,238,2024-05-16
SPARQL,70,2024-05-16
Unbekannt,4,2024-05-16
WMS,236,2024-05-16
WMTS,215,2024-05-16
ZIP,76,2024-05-16
cloud optimized geotiff,1,2024-05-16
Fehlt,65,2024-05-17
API,97,2024-05-17
GPKG,3,2024-05-17
HTML,184,2024-05-17
RDF XML,5,2024-05-17
SERVICE,238,2024-05-17
SPARQL,70,2024-05-17
Unbekannt,4,2024-05-17
WMS,236,2024-05-17
WMTS,215,2024-05-17
ZIP,76,2024-05-17
cloud optimized geotiff,1,2024-05-17
Fehlt,65,2024-05-18
API,97,2024-05-18
GPKG,3,2024-05-18
HTML,184,2024-05-18
RDF XML,5,2024-05-18
SERVICE,238,2024-05-18
SPARQL,70,2024-05-18
Unbekannt,4,2024-05-18
WMS,236,2024-05-18
WMTS,215,2024-05-18
